iter	Passed	Remaining
0	1	140
1	2	137
2	4	132
3	5	131
4	7	136
5	8	134
6	9	129
7	11	127
8	12	124
9	13	120
10	14	117
11	15	117
12	17	114
13	18	112
14	20	116
15	21	115
16	23	114
17	25	114
18	26	112
19	27	110
20	28	108
21	30	106
22	31	104
23	32	102
24	33	101
25	35	99
26	36	97
27	37	95
28	38	94
29	39	92
30	43	97
31	45	95
32	46	94
33	47	93
34	49	91
35	50	90
36	52	88
37	53	87
38	55	86
39	56	84
40	59	84
41	60	83
42	62	82
43	64	82
44	66	81
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	75	72
51	77	71
52	78	69
53	79	68
54	81	66
55	83	65
56	84	63
57	86	62
58	88	61
59	92	61
60	93	59
61	95	58
62	96	56
63	97	55
64	99	53
65	100	51
66	101	50
67	103	48
68	105	47
69	106	45
70	108	44
71	110	43
72	111	41
73	114	40
74	116	38
75	118	37
76	119	35
77	120	33
78	121	32
79	122	30
80	123	28
81	125	27
82	126	26
83	128	24
84	129	22
85	130	21
86	132	19
87	133	18
88	134	16
89	136	15
90	137	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	149	1
99	152	0
